1	1	ἐπειδήπερ πολλοὶ ἐπεχείρησαν ἀνατάξασθαι διήγησιν περὶ τῶν πεπληροφορημένων ἐν ἡμῖν πραγμάτων καθὼς παρέδοσαν ἡμῖν οἱ ἀπ’ ἀρχῆς αὐτόπται καὶ ὑπηρέται γενόμενοι τοῦ λόγου ἔδοξε κἀμοὶ παρηκολουθηκότι ἄνωθεν πᾶσιν ἀκριβῶς καθεξῆς σοι γράψαι κράτιστε Θεόφιλε ἵνα ἐπιγνῷς περὶ ὧν κατηχήθης λόγων τὴν ἀσφάλειαν	
2	1	ἐγένετο ἐν ταῖς ἡμέραις Ἡρῴδου βασιλέως τῆς Ἰουδαίας ἱερεύς τις ὀνόματι Ζαχαρίας ἐξ ἐφημερίας Ἀβιά καὶ γυνὴ αὐτῷ ἐκ τῶν θυγατέρων Ἀαρών καὶ τὸ ὄνομα αὐτῆς Ἐλεισάβετ	
3	1	ἦσαν δὲ δίκαιοι ἀμφότεροι ἐναντίον τοῦ Θεοῦ πορευόμενοι ἐν πάσαις ταῖς ἐντολαῖς καὶ δικαιώμασιν τοῦ Κυρίου ἄμεμπτοι	
4	1	καὶ οὐκ ἦν αὐτοῖς τέκνον καθότι ἦν ἡ Ἐλεισάβετ στεῖρα καὶ ἀμφότεροι προβεβηκότες ἐν ταῖς ἡμέραις αὐτῶν ἦσαν	
5	1	ἐγένετο δὲ ἐν τῷ ἱερατεύειν αὐτὸν ἐν τῇ τάξει τῆς ἐφημερίας αὐτοῦ ἔναντι τοῦ Θεοῦ κατὰ τὸ ἔθος τῆς ἱερατείας ἔλαχε τοῦ θυμιᾶσαι εἰσελθὼν εἰς τὸν ναὸν τοῦ Κυρίου	
6	1	καὶ πᾶν τὸ πλῆθος ἦν τοῦ λαοῦ προσευχόμενον ἔξω τῇ ὥρᾳ τοῦ θυμιάματος	
7	1	ὤφθη δὲ αὐτῷ ἄγγελος Κυρίου ἑστὼς ἐκ δεξιῶν τοῦ θυσιαστηρίου τοῦ θυμιάματος	
8	1	καὶ ἐταράχθη Ζαχαρίας ἰδών καὶ φόβος ἐπέπεσεν ἐπ’ αὐτόν	
9	1	εἶπεν δὲ πρὸς αὐτὸν ὁ ἄγγελος μὴ φοβοῦ Ζαχαρία διότι εἰσηκούσθη ἡ δέησίς σου καὶ ἡ γυνή σου Ἐλεισάβετ γεννήσει υἱόν σοι καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰωάννην	
10	1	καὶ ἔσται χαρά σοι καὶ ἀγαλλίασις καὶ πολλοὶ ἐπὶ τῇ γενέσει αὐτοῦ χαρήσονται ἔσται γὰρ μέγας ἐνώπιον τοῦ Κυρίου καὶ οἶνον καὶ σίκερα οὐ μὴ πίῃ καὶ Πνεύματος Ἁγίου πλησθήσεται ἔτι ἐκ κοιλίας μητρὸς αὐτοῦ	
