PHP	front	intro	pv9j	PHP_front_intro_pv9j		# Introduction to Philippians\n\n## Part 1: General Introduction\n\n### Outline of the book of Philippians\n\n1. Greeting, thanksgiving and prayer (1:1–11)\n2. Paul’s report on his ministry (1:12–26)\n3. Instructions\n    * To be steadfast (1:27–30)\n    * To be united (2:1–2)\n    * To be humble (2:3–11)\n    * To work out our salvation with God working in you (2:12–13)\n    * To be innocent, and shining as light (2:14–18)\n4. Timothy and Epaphroditus (2:19–30)\n5. Warning about false teachers (3:1–4:1)\n6. Personal instruction (4:2–5)\n7. Rejoice and do not be anxious (4:4–6)\n8. Final remarks\n    * Values (4:8–9)\n    * Contentment (4:10–20)\n    * Final Greetings (4:21–23)\n\n### Who wrote the book of Philippians?\n\nPaul wrote Philippians. Paul was from the city of Tarsus. He had been known as Saul in his early life. Before becoming a Christian, Paul was a Pharisee. He persecuted Christians. After he became a Christian, he traveled several times throughout the Roman Empire telling people about Jesus.\n\nPaul wrote this letter while in prison in Rome.\n\n### What is the book of Philippians about?\n\nPaul wrote this letter to the believers in Philippi, a city in Macedonia. He wrote it to thank the Philippians for the gift they had sent him. He wanted to tell them how he was doing in prison and to encourage them to rejoice, even if they were suffering. He also wrote to them about a man named Epaphroditus, the one who brought the gift to Paul. While visiting Paul, Epaphroditus became ill, so Paul decided to send him back to Philippi. Paul encouraged the believers in Philippi to welcome him and to be kind to Epaphroditus when he returned.\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its traditional title, “Philippians.” Or they may choose a clearer title, such as “Paul’s Letter to the Church in Philippi,” or “A Letter to the Christians in Philippi.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What was the city of Philippi like?\n\nPhilip, the father of Alexander the Great, founded Philippi in the region of Macedonia. This meant that the citizens of Philippi were also considered citizens of Rome. The people of Philippi were proud of being citizens of Rome. But Paul tells the believers that it is much more important that they are citizens of heaven (3:20).\n\n## Part 3: Important Translation Issues\n\n### Singular and plural “you”\n\nIn this book, the word “I” refers to Paul. The words “you” and “your” always refer to the believers in Philippi, except for one time in 4:3. (See: [[rc://*/ta/man/translate/figs-you]])\n\n### Who were the “enemies of the cross of Christ” (3:18) in this letter?\n\nThe “enemies of the cross of Christ” were probably people who called themselves believers, but they did not obey God’s commands. They thought that freedom in Christ meant that believers could do whatever they desired, and God would not punish them (3:19).\n\n### Why were the words “joy” and “rejoice” frequently used in this letter?\n\nPaul was in prison when he wrote this letter (1:7). Even though he suffered, Paul said many times that he was joyful because God had been kind to him through Jesus Christ. He wanted to encourage his readers to have the same trust in Jesus Christ.\n\n### What does Paul mean by the expressions “in Christ,” or “in the Lord,” etc.?\n\nThese kinds of expressions occur in 1:1, 8, 13, 14, 26, 27; 2:1, 5, 19, 24, 29; 3:1, 3, 9, 14; 4:1, 2, 4, 7, 10, 13, 19, 21. Paul meant to express the idea of a very close union with Christ and the believers. See the introduction to the book of Romans for more details about this kind of expression.\n\n### What are the major issues in the text of the book of Philippians?\n\nSome versions have “Amen” at the end of the final verse in the letter (4:23). The ULT, UST, and some modern versions include it, but many other versions do not. (See: [[rc://*/ta/man/translate/translate-textvariants]])
PHP	1	intro	kd3g	PHP_1_intro_kd3g		# Philippians 1 General Notes\n\n## Structure and Formatting\n\nPaul follows the normal practice of the time by beginning the letter with a statement of the names of the senders and the recipients. In that culture, the sender would then offer a good wish for the recipients. Paul does this in the form of a Christian blessing.\n\n## Special Concepts in this Chapter\n\n### The day of Christ\n\nThis refers to the day when Christ returns. Paul often connected the return of Christ with motivating godly living. (See: [[rc://*/tw/dict/bible/kt/godly]])\n\n## Other possible translation difficulties in this chapter\n\n### Paradox\n\nA paradox is a true statement that appears to describe something impossible. This statement in verse 21 is a paradox: “to die is gain.” In verse 23 Paul explains why this is true. ([Philippians 1:21](../../php/01/21.md))
PHP	1	1	bzfs	PHP_1_1_bzfs	ἐν Χριστῷ Ἰησοῦ	Alternate translation: “in union with Christ Jesus”
PHP	1	2	uuep	PHP_1_2_uuep	χάρις ὑμῖν καὶ εἰρήνη	This is a greeting and blessing that Paul often uses in the beginning of his letters. Use a form in your language that makes it clear that this is a greeting and blessing. Alternate translation: “may you experience kindness, mercy, and peace within you” or “I pray that you will have grace, mercy, and peace”
PHP	1	2	pyji	PHP_1_2_pyji	ὑμῖν	Here, **you** refers to the Philippian Christians and is plural in form in the original language in which Paul wrote. Throughout this letter, with one exception, the words “you” and “your” are plural and refer to the Philippian Christians. If your language uses different forms to show when “you” and “your” refer to one person and when they refer to more than one person, use the plural form that would be appropriate in your language in this occurrence and all other occurrences of “you” and “your” in this letter, except for in [4:3](../04/03.md). A note will discuss the one exception in [4:3](../04/03.md).
PHP	1	2	yh4s	PHP_1_2_yh4s	Πατρὸς ἡμῶν	If your language has different forms for including or excluding the hearers, use the inclusive form for **our** here and throughout the letter.
PHP	1	3	ntp5	PHP_1_3_ntp5	ἐπὶ πάσῃ τῇ μνείᾳ ὑμῶν	Here, **in all my remembrance of you** could refer to: (1) each time that Paul thought about the Philippian believers. Alternate translation: “each time that I think about you” (2) each time that Paul prayed for the Philippian believers. Alternate translation: “every time that I pray for you”
PHP	1	3	gjyv	PHP_1_3_gjyv	τῷ Θεῷ μου	Use of the words **my God** does not mean that God belongs to Paul, but that Paul belongs to God. That is, God is the one whom Paul worships exclusively. Alternate translation: “the one who is God to me”
PHP	1	3	w8dz	PHP_1_3_w8dz	ὑμῶν	See how you translated the word **you** in [1:2](../01/02.md). In this letter, every use of the words **you** and **your** is plural and refers to the Philippian believers, except for one use in [4:3](../04/03.md), which has a note to discuss it.
PHP	1	5	bca2	PHP_1_5_bca2	ἐπὶ τῇ κοινωνίᾳ ὑμῶν εἰς τὸ εὐαγγέλιον, ἀπὸ τῆς πρώτης ἡμέρας ἄχρι τοῦ νῦν	Here, **because** could refer to: (1) the reason that Paul gives thanks to God. Alternate translation: “I give thanks to God because of your partnership in the gospel from the first day until now” (2) the reason for Paul’s joy.
PHP	1	5	fdqe	PHP_1_5_fdqe	ὑμῶν	Here, the word **your** is plural and refers to the Philippian Christians. In this letter, with one exception, the words “you” and “your” are always plural and always refer to the Philippian Christians. If your language uses different forms to show when “you” and “your” refer to one person and when they refer to more than one person, use the plural form that would be appropriate in your language in this occurrence and all other occurrences of “you” and “your” in this letter, except for in [4:3](../04/03.md). A note will discuss the one exception in [4:3](../04/03.md).
