PHP	front	intro	pv9j	PHP_front_intro_pv9j		# Introduction à Philippiens<br><br>## Partie 1 : Introduction générale<br><br>### Aperçu de la Lettre aux Philippiens<br><br>1. Salut, action de grâce et prière (1:1-11)<br>2. Rapport de Paul sur son ministère (1:12-26)<br>3. Instructions<br>    - Être inébranlable (1:27-30)<br>    - Être uni (2:1-2)<br>    - Être humble (2:3-11)<br>    - Travailler à notre salut, Dieu agissant en vous (2:12-13)<br>    - Être innocent et être une lumière (2:14-18)<br>4. Timothée et Épaphrodite (2:19-30)<br>5. Mise en garde contre les faux enseignants (3:1-4:1)<br>6. Instruction personnelle (4:2-5)<br>7. Réjouissez-vous et ne soyez pas anxieux (4:4-6)<br>8. Remarques finales<br>    - Valeurs (4:8-9)<br>    - Le contentement (4:10-20)<br>    - Salutations finales (4:21-23)<br><br>### Qui a écrit la Lettre aux Philippiens ?<br><br>Paul a écrit la lettre aux Philippiens. Paul était de la ville de Tarse. Il avait été connu sous le nom de Saul dans sa jeunesse. Avant de devenir chrétien, Paul était pharisien. Il a persécuté les chrétiens. Après être devenu chrétien, il a voyagé plusieurs fois à travers l’Empire romain pour parler de Jésus.<br><br>Paul a écrit cette lettre alors qu’il était en prison à Rome.<br><br>### De quoi parle la Lettre aux Philippiens ?<br><br>Paul a écrit cette lettre aux croyants de Philippes, une ville de Macédoine. Il l’a écrite pour remercier les Philippiens du cadeau qu’ils lui avaient envoyé. Il voulait leur dire comment il allait en prison et les encourager à se réjouir même s’ils souffrent. Il leur a écrit aussi au sujet d’un homme nommé Épaphrodite. C’est lui qui a apporté le cadeau à Paul. Lors d’une visite à Paul, Épaphrodite est tombé malade. Alors, Paul a décidé de le renvoyer à Philippes. Paul a encouragé les croyants de Philippes à accueillir et à être gentils avec Épaphrodite à son retour.<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d’appeler ce livre par son titre traditionnel, « Philippiens ». Ou ils peuvent choisir un titre plus clair, tel que « La lettre de Paul à l’Église de Philippes » ou « Une lettre aux chrétiens de Philippes ». (Pour plus d’information, voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Comment était la ville de Philippes ?<br><br>Philippe, le père d’Alexandre le Grand, a fondé Philippes dans la région de Macédoine. Cela signifiait que les citoyens de Philippes étaient également considérés comme des citoyens de Rome. Les habitants de Philippes étaient fiers d’être citoyens de Rome. Mais Paul a dit aux croyants qu’ils sont citoyens du ciel (3:20).<br><br>## Partie 3 : Quelques questions générales relatives à la traduction<br><br>### L’usage des pronoms « tu » et « vous »<br><br>Dans ce livre, le pronom « je » fait référence à Paul. Le pronom pluriel « vous » désigne les croyants de Philippes. Dans la phrase 51/74, Paul s’adresse à un homme particulier avec un pronom singulier « toi ». <br><br>### Qui étaient les « ennemis de la croix du Christ » (phrase 47/74) dans cette lettre ?<br><br>Les « ennemis de la croix du Christ » étaient probablement des personnes qui se disaient croyantes, mais qui n’obéissaient pas aux commandements de Dieu. Ils pensaient que la liberté en Christ signifiait que les croyants pouvaient faire ce qu’ils voulaient et que Dieu ne les punirait pas.<br><br>### Pourquoi les mots “joie” et “se réjouir” sont-ils souvent utilisés dans cette lettre ?<br><br>Paul était en prison lorsqu’il a écrit cette lettre (phrase 2/74). Même s’il souffrait, Paul a dit à plusieurs reprises qu’il était joyeux parce que Dieu avait été bon pour lui par Jésus-Christ. Il voulait encourager ses lecteurs à avoir la même confiance en Jésus-Christ. (Pour plus d’information, voir : [[rc://fr/ta/man/translate/figs-irony]])<br><br>### Que veut dire Paul par les expressions « en Christ », « dans le Seigneur », etc. ?<br><br>Ce genre d’expression se trouve dans les phrases 1, 3, 5, 15, 17, 19, 30, 34, 38, 41, 43, 49, 50, 52, 56, 59, 63, 69 et 72/74. Paul voulait exprimer l’idée d’une union très étroite avec Christ et les croyants. Voir l’introduction de la Lettre aux Romains pour plus de détails sur ce type d’expression.<br><br>### Quels sont les problèmes majeurs dans le texte de la Lettre aux Philippiens ?<br><br>Certaines versions ont « Amen » à la fin de la dernière phrase de la lettre. D’autres versions modernes ne l’ont pas. Si « Amen » est inclus, il peut être mis entre crochets ([ ]) pour indiquer qu’il n’est probablement pas original dans la Lettre aux Philippiens.<br><br>(Pour plus d’information, voir: [[rc://fr/ta/man/translate/translate-textvariants]])
PHP	1	intro	kd3g	PHP_1_intro_kd3g		# Philippiens 1<br><br>## Structure et mise en forme<br><br>Paul inclut une prière au début de cette lettre. À cette époque, les chefs religieux commençaient quelquefois les lettres informelles par une prière.<br><br>## Concepts particuliers de ce chapitre<br><br>### Le jour du Christ<br><br>Cela fait probablement référence au jour du retour du Christ. Paul a souvent lié le retour du Christ à la motivation d’une vie pieuse. (Pour plus d’information, voir : [[rc://fr/tw/dict/bible/kt/godly]])<br><br>## Autres difficultés de traduction possibles dans ce chapitre<br><br>### Paradoxe<br><br>Un paradoxe est une affirmation vraie qui semble décrire quelque chose d’impossible. Cette déclaration au verset 21 est un paradoxe : « mourir est un gain ». Au verset 23, Paul explique pourquoi cela est vrai. ([Philippiens 1:21](../../php/01/21.md))
PHP	1	1	xk9z	PHP_1_1_xk9z	Παῦλος καὶ Τιμόθεος	Ce sont des noms d’hommes. (Pour plus d’information, voir : [[rc://fr/ta/man/translate/translate-names]])
PHP	1	2	uuep	PHP_1_2_uuep	χάρις ὑμῖν καὶ εἰρήνη	Une salutation et une bénédiction que Paul utilise souvent au début de ses lettres. Utilisez une forme dans votre langue qui indique clairement qu’il s’agit d’une salutation et d’une bénédiction. (Pour plus d’information, voir : [[rc://fr/ta/man/translate/translate-blessing]])
PHP	1	3	ntp5	PHP_1_3_ntp5	ἐπὶ πάσῃ τῇ μνείᾳ ὑμῶν	L’expression traduite par *dans chaque souvenir de vous* pourrait signifier : (1) Paul remercie Dieu chaque fois qu’il pense aux chrétiens de Philippes. Traduction alternative : « chaque fois que je pense à vous » (2) Paul remercie Dieu pour les bonnes choses dont il se souvient à propos des Philippiens. Traduction alternative : « à cause de tout ce que je me rappelle de vous ».
PHP	1	5	bca2	PHP_1_5_bca2	ἐπὶ τῇ κοινωνίᾳ ὑμῶν εἰς τὸ εὐαγγέλιον, ἀπὸ τῆς πρώτης ἡμέρας ἄχρι τοῦ νῦν	L’expression traduire par *à cause de la participation* pourrait faire référence : (1) à la raison pour laquelle Paul remercie Dieu (voir εὐχαριστῶ au début de la phrase) (2) à la raison de la joie de Paul (voir μετὰ χαρᾶς juste avant dans la phrase).
PHP	1	5	yi9l	PHP_1_5_yi9l	τῇ κοινωνίᾳ ὑμῶν εἰς τὸ εὐαγγέλιον	L’expression, *[votre] participation à l’avancement de l’évangile* fait référence au partenariat des chrétiens philippiens avec Paul dans les diverses activités liées à la propagation de l’Évangile. Si nécessaire dans votre langue, vous pouvez traduire de façon plus explicite. Par exemple : « votre participation avec moi à l’avancement de l’Évangile » ou « votre partenariat avec moi pour travailler à la propagation de la bonne nouvelle concernant Jésus ». (Pour plus d’information, voir : [[rc://fr/ta/man/translate/figs-explicit]])
PHP	1	5	vi1r	PHP_1_5_vi1r	ἀπὸ τῆς πρώτης ἡμέρας ἄχρι τοῦ νῦν	L’expression *depuis le premier jour* pourrait renvoyer : (1) au moment où les chrétiens philippiens ont cru pour la première fois à l’évangile que Paul leur a prêché (2) à l’époque à laquelle Paul a prêché l’évangile pour la première fois à Philippes. Traduction alternative : « depuis le moment où je vous ai prêché l’évangile pour la première fois jusqu’à maintenant ». (Pour plus d’information, voir : [[rc://fr/ta/man/translate/figs-explicit]])
PHP	1	6	s1l8	PHP_1_6_s1l8	πεποιθὼς αὐτὸ τοῦτο	L’expression *étant devenu confiant en* indique la raison pour laquelle Paul remercie Dieu (εὐχαριστῶ). Si nécessaire dans votre langue, vous pouvez traduire de façon plus explicite. Traduction alternative : « La raison pour laquelle je remercie Dieu, c’est parce que je suis confiant en cette chose même ». (Pour plus d’information, voir : [[rc://fr/ta/man/translate/figs-explicit]])
PHP	1	6	jf4x	PHP_1_6_jf4x	ὁ ἐναρξάμενος	Ici, *celui* renvoie à Dieu. Si nécessaire, vous pouvez l’expliciter dans votre langue. Par exemple : « Dieu a commencé ».
PHP	1	6	u80a	PHP_1_6_u80a	ὅτι ὁ ἐναρξάμενος ἐν ὑμῖν ἔργον ἀγαθὸν	L’expression *une œuvre bonne* se réfère à la fois à la conversion initiale des chrétiens philippiens et au travail continu de Dieu dans leur vie, à travers l’œuvre du Saint-Esprit, depuis qu’ils ont cru en Jésus pour la première fois. Si nécessaire dans votre langue, vous pouvez traduire de façon plus explicite. Par exemple : « que Dieu, ayant commencé son bon travail en vous par votre conversion et le travail continu du Saint-Esprit ». (Pour plus d’information, voir : [[rc://fr/ta/man/translate/figs-explicit]])
